age,code,company,gender,job,name
57岁,600054,黄山旅游发展股份有限公司,男,董事,裴斌
58岁,600054,黄山旅游发展股份有限公司,男,独立董事,高舜礼
54岁,600054,黄山旅游发展股份有限公司,男,独立董事,吴吉林
49岁,600054,黄山旅游发展股份有限公司,男,独立董事,丁重阳
55岁,600054,黄山旅游发展股份有限公司,男,监事会主席,方卫东
52岁,600057,厦门象屿股份有限公司,男,"董事长,董事",邓启东
55岁,600055,北京万东医疗科技股份有限公司,男,董事,孙彤
40岁,600055,北京万东医疗科技股份有限公司,女,董事,钟铮
45岁,600055,北京万东医疗科技股份有限公司,男,董事,刘啸
31岁,600055,北京万东医疗科技股份有限公司,男,董事,吴双
40岁,600055,北京万东医疗科技股份有限公司,男,独立董事,邹卓
66岁,600055,北京万东医疗科技股份有限公司,男,独立董事,潘飞
62岁,600055,北京万东医疗科技股份有限公司,女,独立董事,李红霞
59岁,600055,北京万东医疗科技股份有限公司,男,监事会主席,高恩毅
66岁,600051,宁波联合集团股份有限公司,男,"董事长,董事",李水荣
54岁,600048,保利发展控股集团股份有限公司,男,"董事长,董事",刘平
51岁,600050,中国联合网络通信股份有限公司,男,董事,陈忠岳
49岁,600050,中国联合网络通信股份有限公司,男,董事,张建锋
51岁,600050,中国联合网络通信股份有限公司,男,董事,王海峰
51岁,600050,中国联合网络通信股份有限公司,男,董事,王军辉
47岁,600050,中国联合网络通信股份有限公司,男,董事,卢山
65岁,600050,中国联合网络通信股份有限公司,男,董事,童国华
58岁,600050,中国联合网络通信股份有限公司,男,董事,王俊治
49岁,600050,中国联合网络通信股份有限公司,男,董事,王培暖
45岁,600052,浙江东望时代科技股份有限公司,男,监事,张彦周
30岁,600052,浙江东望时代科技股份有限公司,男,监事,蒋磊磊
43岁,600052,浙江东望时代科技股份有限公司,男,总经理,赵云池
38岁,600052,浙江东望时代科技股份有限公司,男,董事会秘书,姚炳峰
32岁,600052,浙江东望时代科技股份有限公司,男,副总经理,娄松
40岁,600052,浙江东望时代科技股份有限公司,女,副总经理,徐飞燕
30岁,600052,浙江东望时代科技股份有限公司,女,财务负责人,陈艳
52岁,600038,中航直升机股份有限公司,男,"董事长,董事",闫灵喜
35岁,600054,黄山旅游发展股份有限公司,男,监事,许飞
49岁,600054,黄山旅游发展股份有限公司,女,职工监事,石月红
50岁,600054,黄山旅游发展股份有限公司,男,总裁,孙峻
37岁,600054,黄山旅游发展股份有限公司,男,"董事会秘书,高级副总裁,总裁助理",丁维
59岁,600054,黄山旅游发展股份有限公司,男,"副总裁,总裁助理",赵晖
42岁,600054,黄山旅游发展股份有限公司,男,"副总裁,总裁助理",卫超
49岁,600054,黄山旅游发展股份有限公司,男,"高级副总裁,总裁助理",汤石男
56岁,600057,厦门象屿股份有限公司,男,"副董事长,董事",齐卫东
41岁,600057,厦门象屿股份有限公司,男,董事,吴捷
49岁,600057,厦门象屿股份有限公司,男,董事,林俊杰
57岁,600057,厦门象屿股份有限公司,男,董事,张水利
50岁,600057,厦门象屿股份有限公司,女,董事,王剑莉
59岁,600057,厦门象屿股份有限公司,男,独立董事,沈维涛
65岁,600057,厦门象屿股份有限公司,男,独立董事,廖益新
50岁,600055,北京万东医疗科技股份有限公司,女,监事,周海珍
50岁,600055,北京万东医疗科技股份有限公司,女,职工监事,姚培英
52岁,600055,北京万东医疗科技股份有限公司,男,"总裁,总工程师",谢宇峰
53岁,600055,北京万东医疗科技股份有限公司,男,董事会秘书,任志林
53岁,600055,北京万东医疗科技股份有限公司,男,"副总裁,财务负责人",井晓权
55岁,600055,北京万东医疗科技股份有限公司,女,副总裁,姚汶
44岁,600055,北京万东医疗科技股份有限公司,男,副总裁,黄家祥
52岁,600055,北京万东医疗科技股份有限公司,男,副总裁,田丰
57岁,600036,招商银行股份有限公司,男,"董事长,非执行董事",缪建民
69岁,600051,宁波联合集团股份有限公司,男,"副董事长,董事",王维和
57岁,600051,宁波联合集团股份有限公司,男,董事,沈伟
59岁,600051,宁波联合集团股份有限公司,女,董事,李彩娥
43岁,600051,宁波联合集团股份有限公司,男,独立董事,郑磊
33岁,600051,宁波联合集团股份有限公司,男,独立董事,陈文强
51岁,600037,北京歌华有线电视网络股份有限公司,男,"董事长,董事",郭章鹏
49岁,600048,保利发展控股集团股份有限公司,男,董事,周东利
53岁,600048,保利发展控股集团股份有限公司,男,董事,胡在新
52岁,600048,保利发展控股集团股份有限公司,女,董事,邢怡
53岁,600048,保利发展控股集团股份有限公司,男,董事,陈关中
60岁,600048,保利发展控股集团股份有限公司,男,董事,赵子高
66岁,600048,保利发展控股集团股份有限公司,男,独立董事,李非
60岁,600048,保利发展控股集团股份有限公司,男,独立董事,戴德明
59岁,600050,中国联合网络通信股份有限公司,男,独立董事,高云虎
66岁,600050,中国联合网络通信股份有限公司,男,独立董事,顾佳丹
55岁,600050,中国联合网络通信股份有限公司,男,独立董事,吴晓根
61岁,600050,中国联合网络通信股份有限公司,男,独立董事,鲍朔望
53岁,600050,中国联合网络通信股份有限公司,男,监事会主席,李翀
51岁,600050,中国联合网络通信股份有限公司,女,监事,方向明
55岁,600035,湖北楚天智能交通股份有限公司,男,"董事长,董事",王南军
59岁,600032,浙江省新能源投资集团股份有限公司,男,"董事长,董事",吴荣辉
58岁,600038,中航直升机股份有限公司,男,董事,甘立伟
52岁,600038,中航直升机股份有限公司,男,董事,徐德朋
52岁,600038,中航直升机股份有限公司,男,董事,曹生利
50岁,600038,中航直升机股份有限公司,男,董事,许建华
44岁,600038,中航直升机股份有限公司,男,董事,余小林
62岁,600038,中航直升机股份有限公司,女,独立董事,王正喜
40岁,600038,中航直升机股份有限公司,男,独立董事,王猛
53岁,600038,中航直升机股份有限公司,女,独立董事,荣健
41岁,600038,中航直升机股份有限公司,男,监事会主席,胡万林
56岁,600054,黄山旅游发展股份有限公司,男,高级副总裁,迟武
59岁,600057,厦门象屿股份有限公司,男,独立董事,沈艺峰
49岁,600057,厦门象屿股份有限公司,男,监事会主席,曾仰峰
43岁,600057,厦门象屿股份有限公司,女,监事,蔡雅莉
44岁,600057,厦门象屿股份有限公司,女,职工监事,余玉仙
56岁,600057,厦门象屿股份有限公司,男,"总经理,财务负责人",齐卫东
45岁,600057,厦门象屿股份有限公司,男,董事会秘书,廖杰
56岁,600036,招商银行股份有限公司,男,"副董事长,非执行董事",付刚峰
57岁,600036,招商银行股份有限公司,男,执行董事,王良
48岁,600036,招商银行股份有限公司,男,执行董事,李德林
50岁,600036,招商银行股份有限公司,男,非执行董事,周松
60岁,600036,招商银行股份有限公司,男,非执行董事,胡建华
59岁,600036,招商银行股份有限公司,男,非执行董事,洪小源
58岁,600051,宁波联合集团股份有限公司,男,独立董事,翁国民
49岁,600051,宁波联合集团股份有限公司,男,监事会主席,李金方
40岁,600051,宁波联合集团股份有限公司,女,监事,叶舟
46岁,600051,宁波联合集团股份有限公司,女,职工监事,周宇
69岁,600051,宁波联合集团股份有限公司,男,总裁,王维和
48岁,600051,宁波联合集团股份有限公司,男,董事会秘书,汤子俊
58岁,600037,北京歌华有线电视网络股份有限公司,男,"副董事长,董事",马健
60岁,600037,北京歌华有线电视网络股份有限公司,男,"副董事长,董事",卢东涛
50岁,600037,北京歌华有线电视网络股份有限公司,男,董事,韩霁凯
51岁,600037,北京歌华有线电视网络股份有限公司,男,董事,傅力军
58岁,600037,北京歌华有线电视网络股份有限公司,男,董事,胡志鹏
59岁,600037,北京歌华有线电视网络股份有限公司,男,董事,林京
53岁,600037,北京歌华有线电视网络股份有限公司,男,董事,问永刚
56岁,600056,中国医药健康产业股份有限公司,男,"董事长,董事",李亚东
49岁,600033,福建发展高速公路股份有限公司,男,"董事长,董事",方晓东
59岁,600048,保利发展控股集团股份有限公司,男,独立董事,章靖忠
49岁,600048,保利发展控股集团股份有限公司,男,监事会主席,孔峻峰
57岁,600048,保利发展控股集团股份有限公司,男,监事,龚健
36岁,600048,保利发展控股集团股份有限公司,男,职工监事,郭猛超
49岁,600048,保利发展控股集团股份有限公司,男,总经理,周东利
47岁,600048,保利发展控股集团股份有限公司,男,董事会秘书,黄海
47岁,600048,保利发展控股集团股份有限公司,男,副总经理,张伟
43岁,600048,保利发展控股集团股份有限公司,男,副总经理,潘志华
47岁,600048,保利发展控股集团股份有限公司,女,副总经理,张艳华
58岁,600035,湖北楚天智能交通股份有限公司,男,"副董事长,董事",刘先福
43岁,600035,湖北楚天智能交通股份有限公司,男,董事,阮一恒
54岁,600035,湖北楚天智能交通股份有限公司,男,董事,周安军
44岁,600035,湖北楚天智能交通股份有限公司,男,董事,刘刚
41岁,600035,湖北楚天智能交通股份有限公司,男,董事,宋晓峰
58岁,600035,湖北楚天智能交通股份有限公司,男,独立董事,宁立志
57岁,600035,湖北楚天智能交通股份有限公司,女,独立董事,郭月梅
58岁,600032,浙江省新能源投资集团股份有限公司,男,董事,王树乾
43岁,600032,浙江省新能源投资集团股份有限公司,男,董事,周永胜
46岁,600032,浙江省新能源投资集团股份有限公司,男,董事,骆红胜
50岁,600032,浙江省新能源投资集团股份有限公司,男,董事,陈东波
49岁,600032,浙江省新能源投资集团股份有限公司,男,职工董事,周海平
44岁,600032,浙江省新能源投资集团股份有限公司,男,独立董事,孙家红
47岁,600032,浙江省新能源投资集团股份有限公司,男,独立董事,张国昀
55岁,600038,中航直升机股份有限公司,男,职工监事,江山巍
41岁,600038,中航直升机股份有限公司,男,职工监事,刘震宇
58岁,600038,中航直升机股份有限公司,男,"总经理,财务总监",甘立伟
58岁,600038,中航直升机股份有限公司,男,副总经理,范有成
55岁,600057,厦门象屿股份有限公司,男,副总经理,程益亮
43岁,600057,厦门象屿股份有限公司,男,副总经理,范承扬
54岁,600057,厦门象屿股份有限公司,男,副总经理,张军田
44岁,600057,厦门象屿股份有限公司,男,副总经理,童晓青
44岁,600057,厦门象屿股份有限公司,男,副总经理,陈代臻
48岁,600036,招商银行股份有限公司,男,非执行董事,陈冬
57岁,600036,招商银行股份有限公司,男,非执行董事,孙云飞
58岁,600036,招商银行股份有限公司,男,非执行董事,张健
54岁,600036,招商银行股份有限公司,女,非执行董事,苏敏
64岁,600036,招商银行股份有限公司,男,独立非执行董事,李朝鲜
55岁,600036,招商银行股份有限公司,男,独立非执行董事,李孟刚
52岁,600036,招商银行股份有限公司,男,独立非执行董事,刘俏
60岁,600051,宁波联合集团股份有限公司,男,副总裁,戴晓峻
60岁,600051,宁波联合集团股份有限公司,男,副总裁,周兆惠
60岁,600051,宁波联合集团股份有限公司,男,财务负责人,董庆慈
51岁,600051,宁波联合集团股份有限公司,男,总裁助理,石志国
51岁,600051,宁波联合集团股份有限公司,男,总裁助理,王彦梁
60岁,600027,华电国际电力股份有限公司,男,"董事长,董事",丁焕德
60岁,600031,三一重工股份有限公司,男,"董事长,董事",向文波
53岁,600037,北京歌华有线电视网络股份有限公司,男,董事,桂宏
51岁,600037,北京歌华有线电视网络股份有限公司,男,董事,高巍
52岁,600037,北京歌华有线电视网络股份有限公司,男,独立董事,张恒
54岁,600037,北京歌华有线电视网络股份有限公司,男,独立董事,张大钟
65岁,600037,北京歌华有线电视网络股份有限公司,男,独立董事,崔也光
50岁,600037,北京歌华有线电视网络股份有限公司,男,独立董事,崔欣
58岁,600037,北京歌华有线电视网络股份有限公司,男,独立董事,张强
48岁,600037,北京歌华有线电视网络股份有限公司,女,监事会主席,宋文玉
55岁,600056,中国医药健康产业股份有限公司,男,董事,王宏新
46岁,600056,中国医药健康产业股份有限公司,女,董事,胡慧冬
48岁,600056,中国医药健康产业股份有限公司,男,职工董事,周兴兵
57岁,600056,中国医药健康产业股份有限公司,男,董事,童朝银
49岁,600033,福建发展高速公路股份有限公司,女,"副董事长,董事",史秀丽
54岁,600033,福建发展高速公路股份有限公司,男,董事,何高文
55岁,600033,福建发展高速公路股份有限公司,男,董事,徐梦
45岁,600033,福建发展高速公路股份有限公司,男,董事,侯岳屏
60岁,600033,福建发展高速公路股份有限公司,男,董事,程辛钱
50岁,600033,福建发展高速公路股份有限公司,男,董事,张善金
64岁,600033,福建发展高速公路股份有限公司,男,独立董事,陈建华
49岁,600048,保利发展控股集团股份有限公司,男,副总经理,刘颖川
48岁,600048,保利发展控股集团股份有限公司,男,副总经理,唐翔
50岁,600048,保利发展控股集团股份有限公司,男,财务总监,王一夫
55岁,600035,湖北楚天智能交通股份有限公司,女,独立董事,徐一旻
54岁,600035,湖北楚天智能交通股份有限公司,男,监事会主席,王海
48岁,600035,湖北楚天智能交通股份有限公司,男,监事,李琳
36岁,600035,湖北楚天智能交通股份有限公司,3,监事,王超
38岁,600035,湖北楚天智能交通股份有限公司,女,职工监事,彭玲珑
45岁,600035,湖北楚天智能交通股份有限公司,女,职工监事,周婷
43岁,600035,湖北楚天智能交通股份有限公司,男,总经理,阮一恒
61岁,600032,浙江省新能源投资集团股份有限公司,男,独立董事,徐锡荣
59岁,600032,浙江省新能源投资集团股份有限公司,男,监事会主席,朱东临
47岁,600032,浙江省新能源投资集团股份有限公司,男,监事,徐晓剑
54岁,600032,浙江省新能源投资集团股份有限公司,男,职工监事,陆勤丰
58岁,600032,浙江省新能源投资集团股份有限公司,男,总经理,王树乾
43岁,600032,浙江省新能源投资集团股份有限公司,男,董事会秘书,张利
54岁,600032,浙江省新能源投资集团股份有限公司,女,"副总经理,总经济师",张敏娜
48岁,600032,浙江省新能源投资集团股份有限公司,男,副总经理,贺元启
69岁,600036,招商银行股份有限公司,男,独立非执行董事,王仕雄
65岁,600036,招商银行股份有限公司,男,独立非执行董事,田宏启
54岁,600036,招商银行股份有限公司,男,独立非执行董事,史永东
59岁,600036,招商银行股份有限公司,男,监事长,熊良俊
59岁,600036,招商银行股份有限公司,男,监事,彭碧宏
46岁,600036,招商银行股份有限公司,男,监事,吴珩
67岁,600036,招商银行股份有限公司,男,外部监事,徐政军
52岁,600036,招商银行股份有限公司,男,监事,罗胜
60岁,600027,华电国际电力股份有限公司,男,"副董事长,董事",倪守民
60岁,600027,华电国际电力股份有限公司,男,董事,罗小黔
60岁,600027,华电国际电力股份有限公司,男,董事,李鹏云
54岁,600027,华电国际电力股份有限公司,男,董事,王晓渤
59岁,600027,华电国际电力股份有限公司,男,董事,张志强
60岁,600027,华电国际电力股份有限公司,男,董事,彭兴宇
56岁,600030,中信证券股份有限公司,男,"董事长,执行董事",张佑君
58岁,600039,四川路桥建设集团股份有限公司,男,"董事长,董事",熊国斌
60岁,600031,三一重工股份有限公司,男,"副董事长,董事",俞宏福
59岁,600031,三一重工股份有限公司,男,董事,易小刚
59岁,600031,三一重工股份有限公司,男,董事,黄建龙
59岁,600031,三一重工股份有限公司,男,董事,唐修国
66岁,600031,三一重工股份有限公司,男,董事,梁稳根
56岁,600031,三一重工股份有限公司,男,独立董事,伍中信
42岁,600037,北京歌华有线电视网络股份有限公司,男,监事,齐斌
45岁,600037,北京歌华有线电视网络股份有限公司,女,监事,梁燚
53岁,600037,北京歌华有线电视网络股份有限公司,女,职工监事,方丽
51岁,600037,北京歌华有线电视网络股份有限公司,女,职工监事,于铁静
60岁,600037,北京歌华有线电视网络股份有限公司,男,总经理,卢东涛
50岁,600037,北京歌华有线电视网络股份有限公司,男,"董事会秘书,副总经理",韩霁凯
51岁,600037,北京歌华有线电视网络股份有限公司,男,副总经理,傅力军
56岁,600037,北京歌华有线电视网络股份有限公司,男,副总经理,康朝晖
57岁,600033,福建发展高速公路股份有限公司,男,独立董事,许明
56岁,600033,福建发展高速公路股份有限公司,女,独立董事,林兢
55岁,600033,福建发展高速公路股份有限公司,男,独立董事,刘宁
58岁,600033,福建发展高速公路股份有限公司,男,监事会主席,陈建忠
60岁,600033,福建发展高速公路股份有限公司,男,监事,叶国昌
51岁,600033,福建发展高速公路股份有限公司,男,监事,余根华
34岁,600033,福建发展高速公路股份有限公司,女,监事,高莹
51岁,600033,福建发展高速公路股份有限公司,男,职工监事,黄开青
42岁,600035,湖北楚天智能交通股份有限公司,男,董事会秘书,罗琳
54岁,600035,湖北楚天智能交通股份有限公司,男,副总经理,汪勇
53岁,600035,湖北楚天智能交通股份有限公司,男,副总经理,侯往
50岁,600035,湖北楚天智能交通股份有限公司,5,"财务负责人,总会计师",乔晶
41岁,600035,湖北楚天智能交通股份有限公司,4,总工程师,董钊
59岁,600032,浙江省新能源投资集团股份有限公司,男,副总经理,陈苗水
56岁,600032,浙江省新能源投资集团股份有限公司,男,副总经理,林咸志
51岁,600032,浙江省新能源投资集团股份有限公司,女,财务负责人,杨立平
59岁,600032,浙江省新能源投资集团股份有限公司,男,总工程师,求晓明
59岁,600036,招商银行股份有限公司,男,外部监事,张翔
68岁,600036,招商银行股份有限公司,男,外部监事,蔡洪平
58岁,600036,招商银行股份有限公司,男,职工监事,王万青
52岁,600036,招商银行股份有限公司,女,职工监事,蔡进
57岁,600036,招商银行股份有限公司,男,"行长,董事会秘书,财务负责人,公司秘书,授权代表",王良
48岁,600036,招商银行股份有限公司,男,副行长,李德林
61岁,600028,中国石油化工股份有限公司,男,"董事长,非执行董事",马永生
57岁,600023,浙江浙能电力股份有限公司,男,"董事长,董事",虞国平
60岁,600025,华能澜沧江水电股份有限公司,男,"董事长,董事",袁湘华
54岁,600022,山东钢铁股份有限公司,男,"董事长,董事",王向东
58岁,600029,中国南方航空股份有限公司,男,"董事长,执行董事",马须伦
58岁,600030,中信证券股份有限公司,男,执行董事,杨明辉
51岁,600030,中信证券股份有限公司,男,非执行董事,王恕慧
46岁,600030,中信证券股份有限公司,女,非执行董事,付临芳
59岁,600030,中信证券股份有限公司,男,非执行董事,宋康乐
52岁,600030,中信证券股份有限公司,男,非执行董事,赵先信
59岁,600030,中信证券股份有限公司,男,独立非执行董事,李青
75岁,600030,中信证券股份有限公司,男,独立非执行董事,周忠惠
59岁,600039,四川路桥建设集团股份有限公司,男,"副董事长,董事",胡元华
49岁,600039,四川路桥建设集团股份有限公司,4,"副董事长,董事",陈良春
41岁,600039,四川路桥建设集团股份有限公司,男,董事,胡圣厦
53岁,600039,四川路桥建设集团股份有限公司,男,董事,赵志鹏
60岁,600039,四川路桥建设集团股份有限公司,男,董事,郭祥辉
49岁,600039,四川路桥建设集团股份有限公司,男,董事,李黔
57岁,600039,四川路桥建设集团股份有限公司,男,独立董事,李光金
69岁,600039,四川路桥建设集团股份有限公司,男,独立董事,周友苏
46岁,600031,三一重工股份有限公司,男,独立董事,周华
39岁,600031,三一重工股份有限公司,女,独立董事,席卿
45岁,600031,三一重工股份有限公司,男,监事会主席,刘道君
68岁,600031,三一重工股份有限公司,男,监事,姚川大
56岁,600031,三一重工股份有限公司,男,职工监事,李道成
59岁,600037,北京歌华有线电视网络股份有限公司,男,副总经理,唐文伟
54岁,600037,北京歌华有线电视网络股份有限公司,男,副总经理,姜宏志
58岁,600037,北京歌华有线电视网络股份有限公司,男,总会计师,胡志鹏
59岁,600037,北京歌华有线电视网络股份有限公司,男,总工程师,曾春
58岁,600033,福建发展高速公路股份有限公司,男,职工监事,李文海
57岁,600033,福建发展高速公路股份有限公司,男,职工监事,林元洪
49岁,600033,福建发展高速公路股份有限公司,男,总经理,方晓东
54岁,600033,福建发展高速公路股份有限公司,男,"董事会秘书,副总经理",何高文
52岁,600033,福建发展高速公路股份有限公司,男,财务总监,郑建雄
50岁,600036,招商银行股份有限公司,男,"副行长,首席风险官",朱江涛
60岁,600036,招商银行股份有限公司,男,副行长,汪建中
60岁,600036,招商银行股份有限公司,男,副行长,施顺华
59岁,600036,招商银行股份有限公司,男,副行长,王云桂
52岁,600036,招商银行股份有限公司,女,"公司秘书,授权代表",何咏紫
59岁,600028,中国石油化工股份有限公司,男,执行董事,刘宏斌
57岁,600028,中国石油化工股份有限公司,男,董事,喻宝才
59岁,600028,中国石油化工股份有限公司,男,董事,凌逸群
59岁,600028,中国石油化工股份有限公司,男,董事,李永林
51岁,600028,中国石油化工股份有限公司,男,董事,赵东
61岁,600028,中国石油化工股份有限公司,女,独立非执行董事,史丹
55岁,600028,中国石油化工股份有限公司,男,独立非执行董事,蔡洪滨
67岁,600028,中国石油化工股份有限公司,男,独立非执行董事,毕明建
62岁,600028,中国石油化工股份有限公司,男,独立非执行董事,吴嘉宁
57岁,600023,浙江浙能电力股份有限公司,男,董事,曹路
59岁,600023,浙江浙能电力股份有限公司,男,董事,章勤
59岁,600023,浙江浙能电力股份有限公司,男,董事,赵明川
54岁,600025,华能澜沧江水电股份有限公司,男,"副董事长,董事",李双友
56岁,600025,华能澜沧江水电股份有限公司,男,"副董事长,董事",苏劲松
52岁,600025,华能澜沧江水电股份有限公司,男,董事,孙卫
59岁,600025,华能澜沧江水电股份有限公司,男,董事,徐平
53岁,600025,华能澜沧江水电股份有限公司,女,董事,李庆华
56岁,600025,华能澜沧江水电股份有限公司,男,董事,李喜德
56岁,600022,山东钢铁股份有限公司,男,董事,孙日东
56岁,600022,山东钢铁股份有限公司,男,董事,苗刚
54岁,600022,山东钢铁股份有限公司,男,董事,陈肖鸿
50岁,600022,山东钢铁股份有限公司,男,独立董事,刘冰
58岁,600022,山东钢铁股份有限公司,男,独立董事,王爱国
52岁,600022,山东钢铁股份有限公司,女,独立董事,马建春
73岁,600022,山东钢铁股份有限公司,男,独立董事,徐金梧
55岁,600029,中国南方航空股份有限公司,男,"副董事长,执行董事",韩文胜
58岁,600029,中国南方航空股份有限公司,男,独立非执行董事,郭为
66岁,600029,中国南方航空股份有限公司,男,独立非执行董事,顾惠忠
71岁,600029,中国南方航空股份有限公司,男,独立非执行董事,刘长乐
64岁,600029,中国南方航空股份有限公司,男,独立非执行董事,阎焱
49岁,600026,中远海运能源运输股份有限公司,男,"董事长,执行董事",任永强
49岁,600030,中信证券股份有限公司,男,独立非执行董事,史青春
53岁,600030,中信证券股份有限公司,男,监事会主席,张长义
64岁,600030,中信证券股份有限公司,男,监事,郭昭
74岁,600030,中信证券股份有限公司,男,监事,饶戈平
36岁,600030,中信证券股份有限公司,男,职工监事,李宁
58岁,600021,上海电力股份有限公司,男,董事,魏居亮
49岁,600039,四川路桥建设集团股份有限公司,男,独立董事,曹麒麟
68岁,600039,四川路桥建设集团股份有限公司,男,独立董事,赵泽松
59岁,600039,四川路桥建设集团股份有限公司,男,监事会主席,马青云
57岁,600039,四川路桥建设集团股份有限公司,男,监事,栾黎
45岁,600039,四川路桥建设集团股份有限公司,男,监事,谭德彬
42岁,600039,四川路桥建设集团股份有限公司,4,监事,赵帅
60岁,600039,四川路桥建设集团股份有限公司,男,职工监事,孙永松
51岁,600039,四川路桥建设集团股份有限公司,男,职工监事,何满全
59岁,600031,三一重工股份有限公司,男,执行总裁,易小刚
60岁,600031,三一重工股份有限公司,男,总裁,俞宏福
36岁,600031,三一重工股份有限公司,女,董事会秘书,蔡盛林
59岁,600031,三一重工股份有限公司,男,高级副总裁,黄建龙
46岁,600031,三一重工股份有限公司,男,"高级副总裁,财务总监",刘华
50岁,600031,三一重工股份有限公司,男,高级副总裁,向儒安
44岁,600031,三一重工股份有限公司,男,副总裁,张科
51岁,600028,中国石油化工股份有限公司,男,监事会主席,张少峰
59岁,600028,中国石油化工股份有限公司,男,监事,章治国
58岁,600028,中国石油化工股份有限公司,男,监事,翟亚林
60岁,600018,上海国际港务(集团)股份有限公司,男,"董事长,董事",顾金山
50岁,600017,日照港股份有限公司,男,"董事长,董事",牟伟
54岁,600020,河南中原高速公路股份有限公司,男,"董事长,董事",马沉重
52岁,600025,华能澜沧江水电股份有限公司,男,职工董事,龙健
42岁,600025,华能澜沧江水电股份有限公司,男,董事,吴余生
50岁,600025,华能澜沧江水电股份有限公司,男,董事,李健平
48岁,600025,华能澜沧江水电股份有限公司,男,独立董事,尹晓冰
68岁,600025,华能澜沧江水电股份有限公司,男,独立董事,陈铁水
65岁,600022,山东钢铁股份有限公司,男,独立董事,汪晋宽
49岁,600022,山东钢铁股份有限公司,女,监事会主席,高凤娟
52岁,600022,山东钢铁股份有限公司,男,监事,罗文军
52岁,600022,山东钢铁股份有限公司,男,监事,徐峰
56岁,600022,山东钢铁股份有限公司,男,职工监事,高淑军
56岁,600022,山东钢铁股份有限公司,男,职工监事,李东祥
48岁,600022,山东钢铁股份有限公司,男,总经理,吕铭
57岁,600029,中国南方航空股份有限公司,男,监事会主席,任积东
51岁,600029,中国南方航空股份有限公司,男,监事,林晓春
54岁,600029,中国南方航空股份有限公司,男,职工监事,杨斌
55岁,600029,中国南方航空股份有限公司,男,总经理,韩文胜
49岁,600029,中国南方航空股份有限公司,男,董事会秘书,谢兵
53岁,600029,中国南方航空股份有限公司,男,"副总经理,财务总监,总会计师",姚勇
52岁,600026,中远海运能源运输股份有限公司,男,执行董事,朱迈进
70岁,600026,中远海运能源运输股份有限公司,男,独立非执行董事,李润生
59岁,600026,中远海运能源运输股份有限公司,男,独立非执行董事,赵劲松
67岁,600026,中远海运能源运输股份有限公司,男,独立非执行董事,王祖温
51岁,600026,中远海运能源运输股份有限公司,男,独立非执行董事,黄伟德
55岁,600026,中远海运能源运输股份有限公司,男,监事会主席,翁羿
51岁,600026,中远海运能源运输股份有限公司,男,监事,杨磊
45岁,600026,中远海运能源运输股份有限公司,男,职工监事,曾向峰
47岁,600030,中信证券股份有限公司,女,职工监事,牛学坤
58岁,600030,中信证券股份有限公司,男,总经理,杨明辉
53岁,600030,中信证券股份有限公司,男,董事会秘书,王俊锋
58岁,600021,上海电力股份有限公司,男,董事,胡建东
57岁,600021,上海电力股份有限公司,男,董事,刘洪亮
59岁,600021,上海电力股份有限公司,男,董事,聂毅涛
